"DNR_GRID_ID","Season","Resolution","TRUE_SPECIES","CROWD_SPECIES","Agreement_Species","TRUE_COUNT","ModeCrowdNAnimals.x","ModeCrowdNAnimals_Low","ModeCrowdNAnimals_High","Agreement_Total_CountTRUE","Agreement_Total_CountTRUE.low","Agreement_Total_CountTRUE.high","n_species_voted_for","numusers","propusers","Pielou_users","UserVotes","VarCrowdNAnimals","MeanCrowdNAnimals","Pielou_Nanimals","maxprop_NAnimals","jday","dectime","TW_Changes_Hour"
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,10,1,0,10,0.1,1.1,0.468995594,0.9,152,14.1,0.306122474
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,15,0.933333333,0.353359335,14,0,1,0,1,153,15.25,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,3,10,0.7,0.729846699,7,0,1,0,1,154,13.93333333,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0,1,0,1,154,14.31666667,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,0.444444444,1.222222222,0.503258335,0.888888889,155,18.35,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,10,1,0.332192809,10,6.696969697,1.833333333,0.515273445,1,156,9.75,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,0,1,0,1,156,19.15,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,6,15,0.6,0.724034589,9,0.066666667,0.933333333,0.353359335,0.933333333,156,19.16666667,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,3,14,0.714285714,0.716152269,10,4.266666667,1.533333333,0.353359335,1,157,9.883333333,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,1,1.333333333,0.503258335,0.888888889,157,9.883333333,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,7,1,0,7,0,1,0,1,157,9.9,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,14,0.928571429,0.500329107,13,0.4625,1.0625,0.593139062,0.857142857,157,9.916666667,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,10,1,0,10,0,1,0,1,157,10.38333333,14.99988
"ELKBR003","1","Low","PORCUPINE","PORCUPINE",1,1,"1",1,1,1,1,1,7,15,0.333333333,0.890136671,5,0.066666667,0.933333333,0.353359335,0.933333333,162,5.916666667,0.436392156
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0,1,0,1,162,8.333333333,60.40899366
"ELKBR003","1","Low","SQUIRREL","NOTHINGHERE",0,1,"1",1,1,1,1,1,6,14,0.357142857,0.925702386,5,3.838095238,1.133333333,0.776649014,0.642857143,163,12.65,0.116279048
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,10,1,0,10,0,1,0,1,163,21.25,0.25845917
"ELKBR003","1","Low","PORCUPINE","RACCOON",0,1,"1",1,1,1,1,1,6,19,0.421052632,0.836843704,8,0,1,0,1,164,4.283333333,0.477375533
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,12,1,0,12,0.151515152,1.166666667,0.650022422,0.833333333,164,7.266666667,0.335195411
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,12,1,0,12,0,1,0,1,164,19.48333333,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,14,0.928571429,0.371232327,13,0.20952381,1.066666667,0.597094843,0.785714286,164,19.48333333,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,9,0.888888889,0.503258335,8,0.111111111,0.888888889,0.503258335,0.888888889,164,20.86666667,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,10,0.8,0.721928095,8,0,1,0,1,165,17.61666667,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,8,0.875,0.543564443,7,0,1,0,1,165,17.63333333,0.089820357
"ELKBR003","1","Low","PORCUPINE","UNKNOWN",0,1,"1",1,1,1,1,1,6,14,0.214285714,0.947331203,3,0,1,0,1,166,4.766666667,0.219409981
"ELKBR003","1","Low","DEER","DEER",1,2,"2",2,2,1,1,1,3,13,0.769230769,0.625418116,10,0.602564103,1.538461538,0.755969903,0.692307692,166,12.48333333,0.129589624
"ELKBR003","1","Low","DEER","DEER",1,2,"2",2,2,1,1,1,1,9,1,0,9,0.25,1.666666667,0.918295834,0.666666667,166,12.48333333,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0.5,1.25,0.543564443,0.875,166,12.5,0.0243309
"ELKBR003","1","Low","PORCUPINE","PORCUPINE",1,1,"1",1,1,1,1,1,8,15,0.533333333,0.768963532,8,0.066666667,0.933333333,0.353359335,0.933333333,168,23.18333333,0.056872037
"ELKBR003","1","Low","PORCUPINE","PORCUPINE",1,1,"1",1,1,1,1,1,3,8,0.75,0.669591946,6,0,1,0,1,169,0.266666667,0.08086253
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,3,9,0.777777778,0.622365973,7,0,1,0,1,169,12.63333333,0.096262941
"ELKBR003","1","Low","PORCUPINE","UNKNOWN",0,1,"1",1,1,1,1,1,4,13,0.461538462,0.799484848,6,0,1,0,1,172,5.566666667,0.037123799
"ELKBR003","1","Low","PORCUPINE","PORCUPINE",1,1,"1",1,1,1,1,1,4,14,0.428571429,0.958773619,6,0,1,0,1,174,3.6,0.073492155
"ELKBR003","1","Low","PORCUPINE","RACCOON",0,1,"1",1,1,1,1,1,5,15,0.466666667,0.845334804,7,0,1,0,1,174,22.91666667,0.030518819
"ELKBR003","1","Low","PORCUPINE","PORCUPINE",1,1,"1",1,1,1,1,1,4,11,0.909090909,0.534242277,10,0,1,0,1,176,7.683333333,0.083012258
"ELKBR003","1","Low","PORCUPINE","FISHER",0,1,"1",1,1,1,1,1,9,15,0.266666667,0.922176843,4,0.123809524,0.866666667,0.566509507,0.866666667,177,2.733333333,0.110689366
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,10,0.9,0.468995594,9,0,1,0,1,177,19.91666667,0.058195928
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0,1,0,1,177,21.2,59.99520038
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,9,1,0.352213889,9,0.1,0.9,0.468995594,1,177,21.21666667,0
"ELKBR003","1","Low","NOTHINGHERE","NOTHINGHERE",1,0,"0",0,0,1,1,1,2,6,0.833333333,0.650022422,5,0.166666667,0.166666667,0.650022422,0.833333333,177,21.21666667,59.99520038
"ELKBR003","1","Low","PORCUPINE","RACCOON",0,1,"1",1,1,1,1,1,6,15,0.466666667,0.805920772,7,0.229166667,0.6875,0.896038233,0.733333333,182,0.083333333,0.872594887
"ELKBR003","1","Low","PORCUPINE","PORCUPINE",1,1,"1",1,1,1,1,1,4,15,0.666666667,0.7128026,10,0,1,0,1,182,21.05,0.051903119
"ELKBR003","1","Low","PORCUPINE","PORCUPINE",1,1,"1",1,1,1,1,1,4,14,0.5,0.862203909,7,0,1,0,1,184,3.816666667,0.199335527
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,0.111111111,0.888888889,0.503258335,0.888888889,184,8.833333333,0.199335527
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,2.777777778,1.555555556,0.503258335,0.888888889,184,8.833333333,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,10,0.9,0.468995594,9,1.788888889,1.3,0.581671866,0.8,185,4.566666667,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0.125,0.875,0.543564443,0.875,187,2.366666667,0.020283975
"ELKBR003","1","Low","NOTHINGHERE","NOTHINGHERE",1,0,"0",0,0,1,1,1,4,15,0.6,0.735801131,9,0.257142857,0.4,0.970950594,0.6,190,6.15,0.037759598
"ELKBR003","1","Low","PORCUPINE","PORCUPINE",1,1,"1",1,1,1,1,1,4,14,0.642857143,0.741915853,9,0,1,0,1,193,2.683333333,0.129690283
"ELKBR003","1","Low","SQUIRREL","SQUIRREL",1,1,"1",1,1,1,1,1,1,11,1,0,11,0,1,0,1,193,20,0.062346247
"ELKBR003","1","Low","PORCUPINE","UNKNOWN",0,1,"1",1,1,1,1,1,5,16,0.375,0.833909598,6,0,1,0,1,202,21.46666667,0.109127999
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,11,0.909090909,0.439496987,10,0,1,0,1,203,7.033333333,0
"ELKBR003","1","Low","DEER","DEER",1,1,"0 and/or 2",0,2,0,0,0,2,12,0.583333333,0.979868757,7,0.909090909,1,0.935893281,0.416666667,203,7.033333333,0.104529593
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,12,1,0,12,0,1,0,1,203,7.05,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0,1,0,1,203,13.46666667,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,8,0.875,0.543564443,7,0.125,0.875,0.543564443,0.875,203,17.43333333,0.031880979
"ELKBR003","1","Low","PORCUPINE","PORCUPINE",1,1,"1",1,1,1,1,1,2,10,0.7,0.881290899,7,0,1,0,1,205,0.8,0.169495648
"ELKBR003","1","Low","COYOTE","COYOTE",1,1,"1",1,1,1,1,1,3,15,0.6,0.776649014,9,0,1,0,1,205,18.28333333,0.117525635
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,9,0.888888889,0.503258335,8,0.111111111,0.888888889,0.503258335,0.888888889,207,21.18333333,0.017725259
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,8,0.875,0.543564443,7,0.125,0.875,0.543564443,0.875,207,21.18333333,0.019646366
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,13,0.769230769,0.779349837,10,0,1,0,1,210,5.783333333,5.500905373
"ELKBR003","1","Low","PORCUPINE","PORCUPINE",1,1,"1",1,1,1,1,1,3,12,0.833333333,0.515273445,10,0,1,0,1,211,3.35,0.11883162
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,12,1,0,12,0,1,0,1,211,17.15,0.072463768
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,14,0.857142857,0.591672779,12,0,1,0,1,211,17.16666667,0.065288361
"ELKBR003","1","Low","NOTHINGHERE","NOTHINGHERE",1,0,"0",0,0,1,1,1,1,5,1,0,5,0,0,0,1,212,8.483333333,60.06048874
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,0,1,0,1,212,8.5,60.03341694
"ELKBR003","1","Low","NOTHINGHERE","NOTHINGHERE",1,0,"0",0,0,1,1,1,1,4,1,0,4,0,0,0,1,213,10.73333333,0.202020202
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,10,1,0,10,0,1,0,1,213,15.68333333,0.202020202
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,0,1,0,1,214,5.416666667,0.21352312
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0,1,0,1,214,16.66666667,0
"ELKBR003","1","Low","DEER","DEER",1,2,"2",2,2,1,1,1,1,8,1,0,8,0,2,0,1,214,16.66666667,0.15228427
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,0,1,0,1,214,16.68333333,0.016304348
"ELKBR003","1","Low","PORCUPINE","RACCOON",0,1,"1",1,1,1,1,1,6,15,0.6,0.724034589,9,0,1,0,1,217,6.016666667,0.552018481
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,0,1,0,1,217,7.883333333,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,10,1,0,10,4.9,1.7,0.468995594,0.9,218,13.6,0.103626952
"ELKBR003","1","Low","UNKNOWN","NOTHINGHERE",0,0,"0",0,0,1,1,1,2,6,0.833333333,0.650022422,5,0.166666667,0.166666667,0.650022422,0.833333333,218,23.25,0.103626952
"ELKBR003","1","Low","UNKNOWN","NOTHINGHERE",0,1,"1 and/or 0",0,1,0,0,1,5,10,0.5,0.844541246,5,0.277777778,0.5,1,0.5,219,22.1,0.789473352
"ELKBR003","1","Low","UNKNOWN","UNKNOWN",1,0,"0",0,0,1,1,1,3,5,0.4,0.960229718,2,0.2,0.2,0.721928095,0.8,219,23.36666667,0.830824144
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0,1,0,1,220,23.56666667,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0,1,0,1,220,23.56666667,60.00384025
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0,1,0,1,220,23.58333333,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,10,1,0,10,0.1,1.1,0.468995594,0.9,220,23.63333333,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,12,0.75,0.811278124,9,0.083333333,1.083333333,0.41381685,0.916666667,220,23.63333333,0
"ELKBR003","1","Low","DEER","DEER",1,2,"2",2,2,1,1,1,2,9,1,0.352213889,9,0.233333333,1.7,0.764204507,0.777777778,220,23.65,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,10,1,0,10,0.9,1.3,0.468995594,0.9,220,23.65,0
"ELKBR003","1","Low","DEER","DEER",1,2,"2",2,2,1,1,1,1,9,1,0,9,0.194444444,1.777777778,0.764204507,0.777777778,220,23.66666667,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0.125,1.125,0.543564443,0.875,220,23.66666667,0
"ELKBR044","1","Low","UNKNOWN","UNKNOWN",1,1,"1",1,1,1,1,1,7,15,0.266666667,0.89879317,4,0.171428571,0.8,0.721928095,0.8,224,0.1,0.007173622
"ELKBR044","1","Low","NOTHINGHERE","NOTHINGHERE",1,0,"0",0,0,1,1,1,1,3,1,0,3,0,0,0,1,229,23.28333333,5.461521574
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,9,0.777777778,0.764204507,7,0.25,0.666666667,0.918295834,0.666666667,229,23.46666667,5.454537521
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,4,13,0.692307692,0.676015051,9,0.141025641,0.846153846,0.619382195,0.846153846,229,23.5,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,10,1,0,10,0,1,0,1,229,23.5,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,3,10,0.8,0.581671866,8,0,1,0,1,229,23.51666667,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,13,1,0,13,0,1,0,1,229,23.51666667,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,7,1,0,7,0,1,0,1,229,23.53333333,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,14,0.785714286,0.749595257,11,0.181318681,0.785714286,0.749595257,0.785714286,232,23.7,0
"ELKBR044","1","Low","NOTHINGHERE","NOTHINGHERE",1,0,"0",0,0,1,1,1,1,3,1,0,3,0,0,0,1,233,6.5,0.285714155
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,0,1,0,1,233,10,0.285714155
"ELKBR044","1","Low","DEER","DEER",1,2,"2",2,2,1,1,1,1,12,1,0,12,0,2,0,1,233,10.01666667,0.026490066
"ELKBR044","1","Low","UNKNOWN","SKUNK_STRIPED",0,1,"1",1,1,1,1,1,7,15,0.466666667,0.83000726,7,0,1,0,1,238,3.166666667,0.078002245
"ELKBR044","1","Low","NOTHINGHERE","NOTHINGHERE",1,0,"0",0,0,1,1,1,4,9,0.555555556,0.828871363,5,0.277777778,0.444444444,0.99107606,0.555555556,238,21.16666667,0.064034922
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,7,1,0,7,0,1,0,1,243,19.1,0.008479367
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,11,0.909090909,0.439496987,10,0.2,1,0.546294702,0.818181818,243,19.11666667,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,10,1,0,10,0,1,0,1,243,19.11666667,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,8,0.875,0.543564443,7,0,1,0,1,243,21.05,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,12,0.916666667,0.41381685,11,0,1,0,1,245,9.6,0.116380544
"ELKBR044","1","Low","COYOTE","COYOTE",1,1,"1",1,1,1,1,1,3,14,0.571428571,0.86991553,8,0,1,0,1,248,2.55,0.051295935
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,8,1,0.375,8,0.111111111,0.888888889,0.503258335,1,249,15.66666667,0.179640676
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,14,0.928571429,0.500329107,13,0,1,0,1,252,7.9,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,7,1,0,7,0,1,0,1,252,7.9,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,9,0.888888889,0.503258335,8,0,1,0,1,252,19.25,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,12,1,0,12,0,1,0,1,252,19.25,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,11,1,0,11,0,1,0,1,252,19.26666667,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,11,0.909090909,0.439496987,10,0,1,0,1,252,19.26666667,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,10,0.9,0.468995594,9,0,1,0,1,252,19.33333333,0
"ELKBR044","1","Low","DEER","UNKNOWN",0,1,"1 and/or 0",0,1,0,0,1,2,12,0.5,1,6,0.272727273,0.5,1,0.5,253,19.11666667,0.042046252
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,3,11,0.818181818,0.546294702,9,0.163636364,0.818181818,0.684038436,0.818181818,253,23.43333333,32.60845928
"ELKBR044","1","Low","NOTHINGHERE","NOTHINGHERE",1,0,"0",0,0,1,1,1,1,4,1,0,4,0,0,0,1,253,23.81666667,2.608699282
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,0.5,1.333333333,0.622365973,0.777777778,253,23.81666667,0.967740937
"ELKBR044","1","Low","UNKNOWN","RACCOON",0,1,"1",1,1,1,1,1,7,15,0.4,0.862940323,6,0.123809524,0.866666667,0.566509507,0.866666667,254,0.85,1.345099655
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0,1,0,1,254,3.516666667,59.99520038
"ELKBR044","1","Low","DEER","UNKNOWN",0,1,"1 and/or 0",0,1,0,0,1,2,10,0.5,1,5,0.277777778,0.5,1,0.5,254,3.516666667,0.072904007
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,6.125,1.875,0.543564443,0.875,254,3.516666667,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,0.111111111,1.111111111,0.503258335,0.888888889,254,17.23333333,0.388693587
"ELKBR044","1","Low","NOTHINGHERE","NOTHINGHERE",1,0,"0",0,0,1,1,1,1,4,1,0,4,0,0,0,1,254,20.4,0.549252644
"ELKBR044","1","Low","OTHER_SMALL_MAMMAL","SQUIRREL",0,1,"1",1,1,1,1,1,4,10,0.7,0.678389825,7,0,1,0,1,255,0.683333333,0.53049272
"ELKBR044","1","Low","NOTHINGHERE","NOTHINGHERE",1,0,"0",0,0,1,1,1,1,4,1,0,4,0,0,0,1,255,4.05,0.361754575
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,14,1,0,14,0,1,0,1,255,19.5,0.064724919
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,0,1,0,1,256,4.15,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,4,14,0.785714286,0.544615039,11,0.131868132,0.857142857,0.591672779,0.857142857,256,18.76666667,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,3,10,0.8,0.581671866,8,0.1,0.9,0.468995594,0.9,256,18.78333333,0.857143053
"ELKBR044","1","Low","COYOTE","FOXRED",0,1,"1",1,1,1,1,1,4,15,0.466666667,0.873232899,7,0,1,0,1,256,19.95,1.004201894
"ELKBR044","1","Low","SQUIRREL","SQUIRREL",1,1,"1",1,1,1,1,1,2,10,0.9,0.468995594,9,0,1,0,1,257,8.3,0.251018426
"ELKBR044","1","Low","NOTHINGHERE","NOTHINGHERE",1,0,"0",0,0,1,1,1,3,10,0.6,0.817345422,6,0.266666667,0.4,0.970950594,0.6,257,22.41666667,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,12,0.833333333,0.650022422,10,0,1,0,1,258,6.416666667,0.178571454
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,15,0.933333333,0.353359335,14,0.066666667,0.933333333,0.353359335,0.933333333,258,6.433333333,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,0.111111111,1.111111111,0.503258335,0.888888889,259,19.96666667,59.99520038
"ELKBR044","1","Low","BOBCAT","FOXRED",0,1,"1",1,1,1,1,1,9,15,0.333333333,0.90420054,5,0,1,0,1,261,6.75,0.107297208
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,9,0.888888889,0.503258335,8,0,1,0,1,261,19.48333333,0.078534025
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,13,0.846153846,0.619382195,11,0,1,0,1,261,19.5,0
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,10,0.8,0.721928095,8,0.233333333,0.7,0.881290899,0.7,261,19.51666667,0.06904487
"ELKBR044","1","Low","NOTHINGHERE","NOTHINGHERE",1,0,"0",0,0,1,1,1,2,4,0.75,0.811278124,3,0.25,0.25,0.811278124,0.75,262,20.86666667,2.499995
"ELKBR044","1","Low","COYOTE","UNKNOWN",0,1,"1",1,1,1,1,1,3,15,0.466666667,0.811812688,7,0,1,0,1,262,21.26666667,14.5000718
"ELKBR044","1","Low","COYOTE","FOXGRAY",0,1,"1",1,1,1,1,1,5,15,0.466666667,0.785043949,7,0,1,0,1,262,21.35,71.99527718
"ELKBR044","1","Low","PORCUPINE","RACCOON",0,1,"1",1,1,1,1,1,9,14,0.285714286,0.930688286,4,0.071428571,0.928571429,0.371232327,0.928571429,263,7.733333333,0.355885227
"ELKBR044","1","Low","PORCUPINE","PORCUPINE",1,1,"1",1,1,1,1,1,5,15,0.4,0.892751847,6,0.123809524,0.866666667,0.566509507,0.866666667,264,4.483333333,0.435289861
"ELKBR044","1","Low","NOTHINGHERE","NOTHINGHERE",1,0,"0",0,0,1,1,1,2,4,0.75,0.811278124,3,0.25,0.25,0.811278124,0.75,264,7.066666667,60.38229747
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,0,1,0,1,264,7.083333333,59.99520038
"ELKBR044","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,7,1,0,7,0,1,0,1,264,17.38333333,0
